gavin@Nitro-AN515-58-df85a443:~$ python3  ml.py --enc_width 32 --hidden 48 --layers 1 --epochs 200
Params: 17,098 (enc_width=32, hidden=48, layers=1)
Ep000  train=31.94%  val=32.75%  best=32.75%  time=27.6s
Ep001  train=36.01%  val=35.17%  best=35.17%  time=20.9s
Ep002  train=37.86%  val=37.68%  best=37.68%  time=24.6s
Ep003  train=41.40%  val=41.21%  best=41.21%  time=18.4s
Ep004  train=44.68%  val=42.63%  best=42.63%  time=19.1s
Ep005  train=46.73%  val=46.39%  best=46.39%  time=27.5s
Ep006  train=49.16%  val=47.95%  best=47.95%  time=27.2s
Ep007  train=51.34%  val=50.56%  best=50.56%  time=22.8s
Ep008  train=54.45%  val=52.61%  best=52.61%  time=18.9s
Ep009  train=55.41%  val=53.50%  best=53.50%  time=23.7s
Ep010  train=56.68%  val=53.77%  best=53.77%  time=20.0s
Ep011  train=57.33%  val=55.32%  best=55.32%  time=17.5s
Ep012  train=58.77%  val=57.69%  best=57.69%  time=19.5s
Ep013  train=58.85%  val=56.83%  best=57.69%  time=15.2s
Ep014  train=59.94%  val=58.22%  best=58.22%  time=15.0s
Ep015  train=60.96%  val=59.06%  best=59.06%  time=15.0s
Ep016  train=61.11%  val=59.19%  best=59.19%  time=14.6s
Ep017  train=61.78%  val=59.89%  best=59.89%  time=13.4s
Ep018  train=62.01%  val=60.62%  best=60.62%  time=13.1s
Ep019  train=63.03%  val=60.81%  best=60.81%  time=14.2s
Ep020  train=63.51%  val=60.56%  best=60.81%  time=14.2s
Ep021  train=63.59%  val=60.53%  best=60.81%  time=13.1s
Ep022  train=64.53%  val=62.69%  best=62.69%  time=15.6s
Ep023  train=64.62%  val=62.30%  best=62.69%  time=15.2s
Ep024  train=65.26%  val=62.68%  best=62.69%  time=19.6s
Ep025  train=65.93%  val=63.88%  best=63.88%  time=17.0s
Ep026  train=65.97%  val=63.45%  best=63.88%  time=13.7s
Ep027  train=66.29%  val=63.65%  best=63.88%  time=12.6s
Ep028  train=66.02%  val=63.46%  best=63.88%  time=12.7s
Ep029  train=67.18%  val=64.89%  best=64.89%  time=13.3s
Ep030  train=67.17%  val=65.69%  best=65.69%  time=13.1s
Ep031  train=67.52%  val=64.75%  best=65.69%  time=12.0s
Ep032  train=67.91%  val=65.31%  best=65.69%  time=12.8s
Ep033  train=67.54%  val=65.24%  best=65.69%  time=12.5s
Ep034  train=68.24%  val=65.58%  best=65.69%  time=12.4s
Ep035  train=68.30%  val=66.03%  best=66.03%  time=11.9s
Ep036  train=68.67%  val=65.58%  best=66.03%  time=12.2s
Ep037  train=69.11%  val=66.81%  best=66.81%  time=13.4s
Ep038  train=68.75%  val=66.18%  best=66.81%  time=13.0s
Ep039  train=69.70%  val=66.85%  best=66.85%  time=12.3s
Ep040  train=68.97%  val=65.99%  best=66.85%  time=15.6s
Ep041  train=69.96%  val=66.63%  best=66.85%  time=14.3s
Ep042  train=68.78%  val=66.29%  best=66.85%  time=12.4s
Ep043  train=69.86%  val=66.63%  best=66.85%  time=12.4s
Ep044  train=70.32%  val=67.34%  best=67.34%  time=12.3s
Ep045  train=70.30%  val=67.55%  best=67.55%  time=12.4s
